idx cal0 cal1 cal2 cal3 cal4 cal5 cal6 cal7 cal8 cal9 cal10 likelyhood	idx         	AGBc        	height      	LAI         	NPP         	NPP/GPP     
28 0.4489 0.4673 0.7735 0.1067 0.1570 0.4549 8.5024 0.4637 0.1878 5.1380 0.0268 0.00004900	28	21.740284666667	32.864416882353	4.595333235294	1.486208450980	0.469152190966	
29 0.4553 0.4620 0.7837 0.1105 0.1554 0.4721 8.5084 0.4894 0.1902 5.1573 0.0265 0.00005400	29	22.276877137255	35.076582549020	4.434453294118	1.478237392157	0.467966461012	
30 0.4599 0.4668 0.7648 0.1112 0.1622 0.4752 8.5006 0.4964 0.1844 4.8647 0.0268 0.00005400	30	21.733522176471	34.902918156863	4.302152745098	1.480833764706	0.471143111909	
31 0.4592 0.4824 0.7631 0.1122 0.1575 0.4733 8.3755 0.5030 0.1942 4.7486 0.0266 0.00005500	31	21.203772392157	33.756988176471	4.234815882353	1.480932117647	0.458856670156	
33 0.4517 0.4912 0.7595 0.1101 0.1538 0.4881 8.1621 0.5163 0.2000 4.7185 0.0261 0.00005500	33	21.283988862745	34.441832921569	4.156439960784	1.478995647059	0.454381230297	
34 0.4534 0.4919 0.7721 0.1095 0.1620 0.4880 8.1234 0.5144 0.2000 4.6857 0.0262 0.00005500	34	21.138481627451	34.142228294118	4.148938274510	1.479492960784	0.454105152236	
35 0.4672 0.5036 0.7845 0.1138 0.1600 0.4857 8.1473 0.5142 0.2000 4.8194 0.0259 0.00005100	35	21.107357764706	33.993047215686	4.197743372549	1.485066098039	0.453533850805	
36 0.4683 0.4821 0.7835 0.1191 0.1660 0.4649 8.1609 0.5058 0.1969 5.2871 0.0260 0.00005500	36	22.292238372549	32.957653352941	4.369445000000	1.481144274510	0.458980506360	
37 0.4534 0.4723 0.7798 0.1200 0.1640 0.4706 8.0221 0.5062 0.1988 5.4331 0.0259 0.00005700	37	22.763176470588	33.314756745098	4.403131745098	1.475812588235	0.458065683940	
38 0.4576 0.4665 0.7766 0.1200 0.1600 0.4769 8.0518 0.5187 0.1993 5.1210 0.0259 0.00006200	38	22.679350156863	34.016199705882	4.244774843137	1.468969607843	0.454725683262	
39 0.4524 0.4599 0.7757 0.1200 0.1635 0.4754 8.1257 0.5105 0.1967 5.0612 0.0259 0.00006100	39	22.800254921569	34.262524725490	4.270433411765	1.469332705882	0.455554765624	
40 0.4406 0.4534 0.7803 0.1200 0.1689 0.4718 8.2501 0.5031 0.2000 5.2821 0.0250 0.00005700	40	23.979511921569	35.317684490196	4.369794862745	1.467712078431	0.451845817033	
41 0.4395 0.4616 0.7626 0.1143 0.1665 0.4795 7.9017 0.4995 0.1953 5.1655 0.0255 0.00005700	41	23.228715294118	34.062029176471	4.367189274510	1.475265313725	0.459407290736	
42 0.4485 0.4657 0.7500 0.1086 0.1612 0.4739 8.0143 0.5137 0.2000 5.0291 0.0258 0.00006100	42	22.690687313725	33.553414450980	4.248793725490	1.472145862745	0.458692590942	
43 0.4484 0.4675 0.7500 0.1093 0.1611 0.4927 8.0155 0.5056 0.2000 4.8991 0.0262 0.00005800	43	22.108592784314	35.008732098039	4.255094313725	1.472713823529	0.455910258847	
44 0.4461 0.4602 0.7500 0.1117 0.1616 0.4962 8.0924 0.4989 0.2000 5.1436 0.0255 0.00005200	44	23.197786450980	36.672025274510	4.366031686275	1.472273352941	0.455543138585	
45 0.4464 0.4557 0.7500 0.1097 0.1651 0.5015 7.9729 0.4898 0.1988 5.4217 0.0250 0.00004500	45	24.007897058824	37.425525823529	4.499325607843	1.475057058824	0.459686534001	
46 0.4578 0.4604 0.7572 0.1086 0.1630 0.4955 7.9750 0.5005 0.1925 5.3552 0.0250 0.00004800	46	23.948234509804	36.700858058824	4.423157490196	1.478878843137	0.467871131868	
47 0.4469 0.4479 0.7542 0.1038 0.1648 0.4941 7.9861 0.5050 0.1929 4.7789 0.0250 0.00005600	47	23.670764941176	36.347888568627	4.221072980392	1.470592352941	0.461958878158	
48 0.4488 0.4376 0.7500 0.1040 0.1641 0.4936 8.1606 0.5075 0.1919 4.8901 0.0253 0.00005500	48	23.929101509804	37.306519686275	4.236330176471	1.466206862745	0.465438546858	
49 0.4406 0.4361 0.7500 0.1050 0.1620 0.4952 7.9464 0.5135 0.1934 5.1157 0.0258 0.00006000	49	23.878980137255	36.477519509804	4.266448725490	1.464162000000	0.468358951739	
50 0.4396 0.4383 0.7602 0.1048 0.1582 0.5281 7.9207 0.5084 0.1946 4.9250 0.0256 0.00004600	50	23.629755607843	39.974998176471	4.243638117647	1.464240235294	0.463286012094	
51 0.4531 0.4492 0.7562 0.1089 0.1669 0.5229 7.8976 0.5105 0.1991 5.1135 0.0256 0.00004800	51	23.487830450980	39.103240176471	4.280404137255	1.466572588235	0.459487030156	
52 0.4528 0.4501 0.7516 0.1102 0.1684 0.5062 7.9134 0.5085 0.1983 4.8027 0.0250 0.00005500	52	23.589127549020	37.315783745098	4.200594156863	1.465921431373	0.453182321394	
53 0.4548 0.4488 0.7513 0.1118 0.1761 0.5037 8.0354 0.5146 0.2000 4.7437 0.0257 0.00006000	53	22.932970019608	37.023750843137	4.135605137255	1.460630333333	0.451697185720	
54 0.4681 0.4491 0.7500 0.1141 0.1720 0.4982 8.0166 0.5234 0.2000 4.5165 0.0259 0.00006400	54	22.527709235294	35.972061196078	4.023886803922	1.460463784314	0.448486396508	
55 0.4648 0.4445 0.7500 0.1133 0.1777 0.4993 8.0119 0.5473 0.2000 4.3690 0.0255 0.00006600	55	22.943911725490	36.440838431373	3.854300823529	1.455100078431	0.448741291550	
56 0.4687 0.4260 0.7500 0.1171 0.1827 0.4853 8.0578 0.5389 0.2000 4.2013 0.0252 0.00007500	56	23.405362235294	35.491824215686	3.827369549020	1.444631156863	0.441289278897	
57 0.4648 0.4240 0.7500 0.1175 0.1779 0.4812 7.8804 0.5483 0.2000 4.1014 0.0261 0.00008400	57	22.631012607843	33.677316823529	3.749856039216	1.439871607843	0.442063013517	
58 0.4623 0.4158 0.7500 0.1152 0.1763 0.4779 7.9556 0.5614 0.1968 4.0000 0.0259 0.00008800	58	22.961841078431	33.925008568627	3.657990490196	1.434123392157	0.445843171635	
59 0.4656 0.4221 0.7543 0.1177 0.1795 0.4907 7.9762 0.5560 0.1960 4.0000 0.0264 0.00008200	59	22.377096705882	34.861822372549	3.681078941176	1.439041254902	0.445874309474	
60 0.4633 0.4225 0.7640 0.1200 0.1853 0.4798 7.8620 0.5714 0.1930 4.3109 0.0269 0.00008400	60	22.626055823529	33.468828686275	3.709191176471	1.443336000000	0.456669105176	
61 0.4777 0.4298 0.7649 0.1174 0.1914 0.4930 7.8256 0.5726 0.1939 4.2375 0.0267 0.00008000	61	22.479637784314	34.549237352941	3.679301137255	1.444593803922	0.455586112274	
62 0.4984 0.4371 0.7630 0.1171 0.1897 0.5071 7.8408 0.5693 0.1974 4.3555 0.0265 0.00007200	62	22.580586941176	36.214011725490	3.732674431373	1.447946117647	0.453479483015	
63 0.4974 0.4237 0.7662 0.1141 0.1931 0.5025 7.9126 0.5733 0.2000 4.2470 0.0270 0.00008000	63	22.358929686275	35.849423568627	3.671677764706	1.438849705882	0.451611204447	
64 0.5080 0.4151 0.7761 0.1120 0.1979 0.4994 7.9290 0.5900 0.1938 4.2963 0.0277 0.00008300	64	22.366342941176	35.604097960784	3.611714509804	1.438099607843	0.463401974238	
65 0.5065 0.4005 0.7752 0.1159 0.1995 0.4945 7.9296 0.5909 0.1948 4.1817 0.0277 0.00008900	65	22.610133823529	35.284427196078	3.566343294118	1.429893215686	0.457766175725	
66 0.5118 0.4093 0.7779 0.1142 0.1997 0.4877 7.9574 0.5826 0.1949 4.3544 0.0279 0.00008900	66	22.402260509804	34.525930843137	3.654711745098	1.436146156863	0.461406003934	
67 0.5225 0.4058 0.7662 0.1155 0.1983 0.4857 8.1328 0.5746 0.1981 4.4707 0.0281 0.00008700	67	22.448494588235	35.106617823529	3.722096568627	1.436703705882	0.458682851581	
68 0.5029 0.3989 0.7652 0.1094 0.1886 0.4826 8.2091 0.5835 0.1832 4.3671 0.0281 0.00008400	68	22.750553137255	35.349248921569	3.668830215686	1.441690254902	0.477638524932	
69 0.5042 0.4152 0.7660 0.1103 0.1993 0.4569 8.2138 0.6000 0.1849 4.1365 0.0269 0.00008700	69	22.924146764706	32.854344313725	3.529368784314	1.440321450980	0.471019780305	
70 0.4977 0.4249 0.7630 0.1089 0.1929 0.4615 8.1731 0.6000 0.1752 4.0150 0.0274 0.00008100	70	22.150445294118	32.559661274510	3.504811137255	1.449074823529	0.481907694595	
72 0.5046 0.4114 0.7572 0.1140 0.1841 0.4605 8.0382 0.5836 0.1764 4.0000 0.0274 0.00008500	72	22.420462882353	32.114494686275	3.567656470588	1.445070647059	0.475112777545	
73 0.5027 0.4142 0.7605 0.1111 0.1846 0.4545 7.9812 0.5800 0.1792 4.0000 0.0279 0.00008400	73	21.896122549020	30.945979509804	3.581058607843	1.446230294118	0.473965085114	
74 0.5062 0.4087 0.7554 0.1130 0.1886 0.4430 7.9653 0.5677 0.1868 4.0980 0.0282 0.00008600	74	21.806325705882	29.792241196078	3.654632313725	1.442727313725	0.465023130527	
75 0.4947 0.4131 0.7554 0.1139 0.1898 0.4585 8.0232 0.5565 0.1842 4.2676 0.0286 0.00008300	75	21.672202607843	31.320173823529	3.759736411765	1.450453470588	0.470080001263	
76 0.4834 0.4160 0.7569 0.1118 0.1846 0.4664 7.8864 0.5519 0.1923 4.0000 0.0292 0.00008300	76	20.588227647059	30.688651000000	3.691281921569	1.443314078431	0.457214525224	
77 0.4769 0.4172 0.7590 0.1188 0.1852 0.4770 8.0303 0.5461 0.1917 4.0000 0.0283 0.00008300	77	21.086862352941	32.635932098039	3.717990215686	1.443451803922	0.452163784082	
78 0.4781 0.4117 0.7516 0.1173 0.1835 0.4760 7.9169 0.5651 0.1876 4.0209 0.0280 0.00008800	78	21.658796509804	32.549612274510	3.643791705882	1.440437352941	0.459747615442	
79 0.4768 0.4197 0.7500 0.1171 0.1860 0.4541 7.9787 0.5550 0.1907 4.0653 0.0281 0.00008300	79	21.338946431373	30.502421078431	3.701464666667	1.444806725490	0.456378939703	
80 0.4926 0.4022 0.7625 0.1164 0.1794 0.4699 8.0218 0.5507 0.1866 4.0000 0.0287 0.00008800	80	21.313710392157	32.105163470588	3.700385588235	1.441576058824	0.460115030250	
81 0.5031 0.3869 0.7579 0.1126 0.1763 0.4716 8.2024 0.5442 0.1941 4.1078 0.0291 0.00009200	81	21.555641882353	33.187258431373	3.761149764706	1.436038235294	0.455270980108	
82 0.5163 0.3854 0.7502 0.1111 0.1698 0.4586 8.1996 0.5462 0.1916 4.2074 0.0286 0.00009400	82	22.181303549020	32.390924372549	3.792715235294	1.437649529412	0.460124553728	
83 0.5227 0.3782 0.7625 0.1114 0.1692 0.4610 8.0289 0.5436 0.1834 4.0319 0.0285 0.00009400	83	22.191931137255	31.940144960784	3.749718509804	1.438507058824	0.465128112476	
84 0.5355 0.3882 0.7510 0.1124 0.1718 0.4597 8.1368 0.5374 0.1853 4.2346 0.0277 0.00008900	84	22.784396078431	32.678945705882	3.848086000000	1.443584490196	0.464417664476	
85 0.5526 0.3890 0.7735 0.1089 0.1782 0.4581 8.1760 0.5355 0.1834 4.3341 0.0264 0.00008400	85	23.968525941176	33.533654843137	3.888498549020	1.445641823529	0.467648589129	
86 0.5503 0.3973 0.7817 0.1117 0.1677 0.4490 8.1605 0.5268 0.1797 4.3877 0.0272 0.00008200	86	23.189089862745	32.009893686275	3.961242764706	1.452647705882	0.471795044297	
87 0.5599 0.4095 0.7845 0.1109 0.1612 0.4310 8.1852 0.5234 0.1845 4.3295 0.0275 0.00008000	87	22.405824490196	29.894438784314	3.965156215686	1.453988862745	0.466040837332	
88 0.5730 0.3921 0.7877 0.1112 0.1617 0.4483 8.1873 0.5267 0.1868 4.1722 0.0274 0.00008900	88	22.694421568627	31.704969039216	3.888679529412	1.443960078431	0.460122952588	
